taille;tempsMachine;TempsUser
1000;162;0
1000;158;0
1000;156;0
1000;152;0
1000;149;0
1000;152;0
1000;145;0
1000;142;0
1000;156;0
1000;144;0
1000;145;0
1000;151;0
1000;151;0
1000;157;0
1000;145;0
1000;145;0
1000;141;0
1000;139;0
1000;145;0
1000;133;0
1000;138;0
1000;134;0
1000;139;0
1000;138;0
1000;135;0
1000;150;0
1000;154;0
1000;151;0
1000;137;0
1000;134;0
26000;4613;4000
26000;4375;4000
26000;4463;4000
26000;4146;4000
26000;4134;4000
26000;3917;4000
26000;3916;4000
26000;3940;4000
26000;4372;4000
26000;3551;4000
26000;3745;4000
26000;3560;4000
26000;4149;4000
26000;3755;4000
26000;3742;4000
26000;4124;4000
26000;3402;0
26000;3265;0
26000;3572;4000
26000;4152;4000
26000;3933;4000
26000;3720;4000
26000;3730;4000
26000;3946;4000
26000;3755;4000
26000;3436;4000
26000;3396;0
26000;3267;0
26000;3592;4000
26000;3730;4000
51000;8327;8000
51000;7870;8000
51000;7844;8000
51000;7829;8000
51000;6603;4000
51000;6294;8000
51000;6278;8000
51000;8101;8000
51000;7194;4000
51000;6830;4000
51000;6576;8000
51000;6876;4000
51000;6740;4000
51000;7225;8000
51000;6865;4000
51000;6785;4000
51000;6902;4000
51000;6862;4000
51000;6595;8000
51000;6484;8000
51000;5902;8000
51000;6093;8000
51000;6369;4000
51000;6798;4000
51000;6285;8000
51000;6064;8000
51000;5756;8000
51000;5623;8000
51000;5836;8000
51000;5634;8000
76000;8565;8000
76000;8153;8000
76000;7437;8000
76000;10967;12000
76000;9521;12000
76000;8593;8000
76000;9251;12000
76000;8206;8000
76000;8484;8000
76000;8535;8000
76000;8522;8000
76000;8489;8000
76000;7926;8000
76000;7931;8000
76000;7296;4000
76000;7273;4000
76000;7039;4000
76000;7339;4000
76000;7921;8000
76000;7439;8000
76000;7499;8000
76000;6988;4000
76000;6681;8000
76000;6640;8000
76000;6808;4000
76000;6677;8000
76000;13241;16000
76000;12920;16000
76000;10882;8000
76000;13352;12000
101000;15403;16000
101000;13772;12000
101000;12919;16000
101000;11889;12000
101000;10693;8000
101000;10779;8000
101000;10356;8000
101000;11138;12000
101000;10870;8000
101000;10295;12000
101000;9353;12000
101000;10380;8000
101000;15562;16000
101000;14888;16000
101000;13423;16000
101000;12138;12000
101000;11118;12000
101000;10265;12000
101000;9390;8000
101000;9491;12000
101000;12782;16000
101000;12751;12000
101000;11394;12000
101000;11230;12000
101000;10376;8000
101000;9913;12000
101000;11265;12000
101000;10075;12000
101000;9748;12000
101000;9668;12000
126000;12832;16000
126000;13602;16000
126000;12008;12000
126000;11619;12000
126000;12302;12000
126000;13016;16000
126000;11920;12000
126000;14059;12000
126000;14671;12000
126000;13299;16000
126000;13309;16000
126000;13715;16000
126000;12633;12000
126000;12196;12000
126000;11495;12000
126000;11379;8000
126000;11223;8000
126000;11944;12000
126000;12607;16000
126000;11860;12000
126000;11464;12000
126000;11587;12000
126000;11257;12000
126000;11573;12000
126000;16438;20000
126000;14292;12000
126000;14796;12000
126000;13446;16000
126000;12160;12000
126000;15790;16000
151000;17844;16000
151000;15822;16000
151000;13678;16000
151000;15159;16000
151000;26028;24000
151000;22545;20000
151000;24201;24000
151000;21391;20000
151000;18159;16000
151000;17428;20000
151000;23843;24000
151000;23609;24000
151000;22271;24000
151000;18657;20000
151000;21934;24000
151000;22723;24000
151000;24067;24000
151000;20613;20000
151000;18848;20000
151000;17894;16000
151000;22237;24000
151000;23420;24000
151000;19511;20000
151000;19160;20000
