taille;tempsMachine;TempsUser
1000;1189;0
1000;897;0
1000;778;0
1000;414;0
1000;404;0
1000;571;0
1000;797;0
1000;818;0
1000;486;0
1000;529;0
1000;832;0
1000;714;0
1000;730;0
1000;744;0
1000;742;0
1000;879;0
1000;338;0
1000;650;0
1000;635;0
1000;649;0
1000;838;0
1000;696;0
1000;704;0
1000;809;0
1000;401;0
1000;706;0
1000;644;0
1000;714;0
1000;903;0
1000;877;0
26000;3351;0
26000;3775;0
26000;11233;12000
26000;3563;8000
26000;2983;4000
26000;2894;8000
26000;2917;4000
26000;2994;4000
26000;2794;4000
26000;2886;8000
26000;3202;4000
26000;2868;4000
26000;7024;0
26000;3837;4000
26000;2933;4000
26000;3252;8000
26000;2802;8000
26000;3140;4000
26000;3112;0
26000;3194;4000
26000;2734;4000
26000;2706;4000
26000;3053;4000
26000;3215;4000
26000;2985;4000
26000;2833;4000
26000;2660;4000
26000;2826;4000
26000;3341;4000
26000;3226;4000
51000;4863;8000
51000;6596;0
51000;5504;8000
51000;5264;8000
51000;6421;4000
51000;6372;8000
51000;5695;8000
51000;4780;8000
51000;5576;8000
51000;5581;8000
51000;5411;8000
51000;5642;8000
51000;5164;8000
51000;5367;8000
51000;5755;8000
51000;5656;8000
51000;4885;8000
51000;5133;8000
51000;4835;8000
51000;5599;8000
51000;5568;8000
51000;5175;8000
51000;5137;4000
51000;4835;8000
51000;8889;8000
51000;5312;4000
51000;5627;4000
51000;5688;4000
51000;13642;4000
51000;5200;8000
76000;7087;8000
76000;7056;8000
76000;7232;8000
76000;7142;8000
76000;7002;8000
76000;7299;8000
76000;7726;8000
76000;7961;8000
76000;6922;8000
76000;7158;8000
76000;7644;8000
76000;7571;8000
76000;8769;8000
76000;7642;8000
76000;10025;8000
76000;8091;8000
76000;7097;4000
76000;8149;4000
76000;7713;8000
76000;8495;8000
76000;6933;12000
76000;7971;12000
76000;8588;8000
76000;7972;8000
76000;8316;8000
76000;6641;8000
76000;8181;8000
76000;7536;4000
76000;7090;8000
76000;7564;8000
101000;10610;12000
101000;10180;8000
101000;10797;12000
101000;11342;12000
101000;10516;12000
101000;11250;12000
101000;15145;12000
101000;9885;12000
101000;12412;12000
101000;10571;12000
101000;11987;16000
101000;11733;12000
101000;12135;8000
101000;10380;12000
101000;9818;12000
101000;9418;12000
101000;9442;16000
101000;9249;12000
101000;9685;12000
101000;10469;12000
101000;11354;12000
101000;11257;12000
101000;8581;12000
101000;10972;12000
101000;10637;16000
101000;10103;12000
101000;12637;8000
101000;9870;12000
101000;9243;16000
101000;10428;16000
126000;11828;16000
126000;12186;16000
126000;10719;16000
126000;13494;16000
126000;11503;12000
126000;13350;12000
126000;11027;16000
126000;10958;16000
126000;12275;12000
126000;16515;16000
126000;11839;12000
126000;13317;20000
126000;11474;16000
126000;14265;12000
126000;14157;16000
126000;13550;12000
126000;15240;12000
126000;15742;12000
126000;12727;20000
126000;14912;20000
126000;18083;16000
126000;13916;16000
126000;15699;16000
126000;13784;20000
126000;15337;8000
126000;13856;16000
126000;13051;16000
126000;12805;12000
126000;13760;12000
126000;11072;12000
151000;15372;20000
151000;15926;16000
151000;14018;16000
151000;15040;16000
151000;14585;20000
151000;14562;16000
151000;13482;16000
151000;14132;16000
151000;15304;20000
151000;14185;16000
151000;15038;20000
151000;14420;12000
151000;21445;20000
151000;14050;24000
151000;15244;20000
151000;12982;12000
151000;13312;16000
151000;13289;16000
151000;15866;16000
151000;15218;8000
151000;13755;20000
151000;14093;12000
151000;14660;12000
151000;15046;16000
151000;15258;12000
151000;15560;20000
151000;14531;16000
151000;13553;20000
151000;14850;16000
151000;14361;20000
176000;16776;24000
176000;25251;32000
176000;18371;20000
176000;18380;20000
176000;17254;16000
176000;16617;20000
176000;15417;24000
176000;15680;28000
176000;16929;20000
