taille;tempsMachine;TempsUser;TempSys
100;863;0;0
101;971;0;0
102;945;0;0
103;419;0;0
104;663;0;0
105;631;0;0
106;340;0;0
107;773;0;0
108;669;0;0
109;660;0;0
110;798;0;0
111;568;0;0
112;719;0;0
113;838;0;0
114;251;0;0
115;564;0;0
116;515;0;0
117;477;0;0
118;494;0;0
119;443;0;0
120;638;0;0
121;639;0;0
122;683;0;0
123;279;0;0
124;550;0;0
125;363;0;0
126;606;0;0
127;601;0;0
128;473;0;0
129;704;0;0
130;252;0;0
131;891;0;0
132;681;0;0
133;426;0;0
134;542;0;0
135;729;0;0
136;444;0;0
137;364;0;0
138;575;0;0
139;639;0;0
140;525;0;0
141;706;0;0
142;576;0;0
143;348;0;0
144;751;0;0
145;330;0;0
146;656;0;0
147;464;0;0
148;565;0;0
149;834;0;0
150;746;0;0
151;603;0;0
152;449;0;0
153;590;0;0
154;651;0;0
155;356;0;0
156;467;0;0
157;576;0;0
158;578;0;0
159;654;0;0
160;668;0;0
161;812;0;0
162;668;0;0
163;450;0;0
164;610;0;0
165;540;0;0
166;556;0;0
167;765;0;0
168;638;0;0
169;489;0;0
170;622;0;0
171;664;0;0
172;750;0;0
173;381;0;0
174;305;0;0
175;411;0;0
176;365;0;0
177;542;0;0
178;512;0;0
179;452;0;0
180;733;0;0
181;422;0;0
182;636;0;0
183;716;0;0
184;481;0;0
185;387;0;0
186;438;0;0
187;438;0;0
188;366;0;0
189;611;0;0
190;441;0;0
191;709;0;0
192;495;0;0
193;430;0;0
194;486;0;0
195;617;0;0
196;1129;0;0
197;349;0;0
198;519;0;0
199;641;0;0
200;372;0;0
201;494;0;0
202;688;0;0
203;710;0;0
204;483;0;0
205;531;0;0
206;495;0;0
207;514;0;0
208;435;0;0
209;502;0;0
210;738;0;0
211;365;0;0
212;741;0;0
213;499;0;0
214;868;0;0
215;393;0;0
216;267;0;0
217;683;0;0
218;742;0;0
219;637;0;0
220;549;0;0
221;487;0;0
222;644;0;0
223;619;0;0
224;342;0;0
225;606;0;0
226;644;0;0
227;649;0;0
228;520;0;0
229;531;0;0
230;531;0;0
231;622;0;0
232;373;0;0
233;526;0;0
234;543;0;0
235;730;0;0
236;293;0;0
237;238;0;0
238;555;0;0
239;629;0;0
240;817;0;0
241;719;0;0
242;366;0;0
243;534;0;0
244;270;0;0
245;289;0;0
246;525;0;0
247;427;0;0
248;409;0;0
249;381;0;0
250;653;0;0
251;338;0;0
252;380;0;0
253;848;0;0
254;662;0;0
255;840;0;0
256;688;0;0
257;409;0;0
258;292;0;0
259;340;0;0
260;486;0;0
261;697;0;0
262;435;0;0
263;503;0;0
264;371;0;0
265;644;0;0
266;608;0;0
267;407;0;0
268;597;0;0
269;327;0;0
270;613;0;0
271;631;0;0
272;645;0;0
273;365;0;0
274;440;0;0
275;606;0;0
276;636;0;0
277;526;0;0
278;482;0;0
279;750;0;0
280;326;0;0
281;351;0;0
282;612;0;0
283;768;0;0
284;696;0;0
285;302;0;0
286;233;0;0
287;437;0;0
288;215;0;0
289;344;0;0
290;677;0;0
291;576;0;0
292;401;0;0
